country,party,name1,name2,name3,name4,name5,name6,election,vote_share,change,year,prime_minister_last,cabinet_party_last,election_id,enep1
Austria,BZO,BZO,NA,NA,NA,NA,NA,2006,4.1,0,2006,0,1,197,3.7227323162218493
Austria,BZO,BZO,NA,NA,NA,NA,NA,2008,10.7,0,2008,0,0,607,4.831573268217885
Austria,FPO (WdU),FPO,WdU,NA,NA,NA,NA,1949,11.7,0,1949,0,0,67,2.7803148184046718
Austria,FPO (WdU),FPO,WdU,NA,NA,NA,NA,1953,11,0,1953,0,0,11,2.756920905742011
Austria,FPO (WdU),FPO,WdU,NA,NA,NA,NA,1956,6.5,1,1956,0,0,169,2.4834755744006864
Austria,FPO (WdU),FPO,WdU,NA,NA,NA,NA,1959,7.7,0,1959,0,0,347,2.480860163836005
Austria,FPO (WdU),FPO,WdU,NA,NA,NA,NA,1962,7.1,0,1962,0,0,495,2.4650608462047483
Austria,FPO (WdU),FPO,WdU,NA,NA,NA,NA,1966,5.4,0,1966,0,0,608,2.388185226116341
Austria,FPO (WdU),FPO,WdU,NA,NA,NA,NA,1970,5.5,0,1970,0,0,377,2.287293172280819
Austria,FPO (WdU),FPO,WdU,NA,NA,NA,NA,1971,5.5,0,1971,0,0,185,2.27799773111426
Austria,FPO (WdU),FPO,WdU,NA,NA,NA,NA,1975,5.4,0,1975,0,0,221,2.2625662931923904
Austria,FPO (WdU),FPO,WdU,NA,NA,NA,NA,1979,6.6,0,1979,0,0,452,2.27212309454077
Austria,FPO (WdU),FPO,WdU,NA,NA,NA,NA,1983,5,0,1983,0,0,456,2.3991115646931775
Austria,FPO (WdU),FPO,WdU,NA,NA,NA,NA,1986,9.7,0,1986,0,1,235,2.716653084684415
Austria,FPO (WdU),FPO,WdU,NA,NA,NA,NA,1990,16.6,0,1990,0,0,325,3.1626555679031387
Austria,FPO (WdU),FPO,WdU,NA,NA,NA,NA,1994,22.5,0,1994,0,0,66,3.874279648244734
Austria,FPO (WdU),FPO,WdU,NA,NA,NA,NA,1995,21.9,0,1995,0,0,162,3.5898200010713213
Austria,FPO (WdU),FPO,WdU,NA,NA,NA,NA,1999,26.9,0,1999,0,0,492,3.818965815925897
Austria,FPO (WdU),FPO,WdU,NA,NA,NA,NA,2002,10,0,2002,0,1,365,3.018271104135718
Austria,FPO (WdU),FPO,WdU,NA,NA,NA,NA,2006,11,0,2006,0,0,197,3.7227323162218493
Austria,FPO (WdU),FPO,WdU,NA,NA,NA,NA,2008,17.5,0,2008,0,0,607,4.831573268217885
Austria,FPO (WdU),FPO,WdU,NA,NA,NA,NA,2013,20.5,0,2013,0,0,802,5.155598659992318
Austria,FPO (WdU),FPO,WdU,NA,NA,NA,NA,2017,26,0,2017,0,0,NaN,4.0717391241996195
Austria,FRANK,FRANK,NA,NA,NA,NA,NA,2013,5.7,0,2013,0,0,802,5.155598659992318
